Domain,Subdomain,Forename,Lastname,Fullname,Type
LS,"Environmental Biology, Ecology and Evolution (LS8)",Thorsten,Reusch,Thorsten B. Reusch,Member
LS,"Environmental Biology, Ecology and Evolution (LS8)",Christian,Schlötterer,Christian Schlötterer,Member
LS,"Environmental Biology, Ecology and Evolution (LS8)",Tanja,Schwander,Tanja Schwander,Member
LS,"Environmental Biology, Ecology and Evolution (LS8)",Yves,Van de Peer,Yves Van de Peer,Member
LS,"Environmental Biology, Ecology and Evolution (LS8)",Lars,Werdelin,Lars Werdelin,Member
LS,"Environmental Biology, Ecology and Evolution (LS8)",Katherine,Willis,Katherine Willis,Member
LS,Biotechnology and Biosystems Engineering (LS9),Nicholas,Talbot,Nicholas Talbot,Chair
LS,Biotechnology and Biosystems Engineering (LS9),Maria,Aguilar,Maria Isabel Aguilar,Member
LS,Biotechnology and Biosystems Engineering (LS9),Oliana,Carnaveli,Oliana Carnaveli,Member
LS,Biotechnology and Biosystems Engineering (LS9),Abigail,Fowden,Abigail L. Fowden,Member
LS,Biotechnology and Biosystems Engineering (LS9),Marco,Gobbetti,Marco Gobbetti,Member
LS,Biotechnology and Biosystems Engineering (LS9),Christian,Messier,Christian Messier,Member
LS,Biotechnology and Biosystems Engineering (LS9),Birger,Møller,Birger Lindberg Møller,Member
LS,Biotechnology and Biosystems Engineering (LS9),Nuria,Pulido,Nuria Montserrat Pulido,Member
LS,Biotechnology and Biosystems Engineering (LS9),Rolf,Müller,Rolf Müller,Member
LS,Biotechnology and Biosystems Engineering (LS9),Heiner,Niemann,Heiner Niemann,Member
LS,Biotechnology and Biosystems Engineering (LS9),Merja,Penttilä,Merja Penttilä,Member
LS,Biotechnology and Biosystems Engineering (LS9),Dominique,Van Der Straeten,Dominique Van Der Straeten,Member
LS,Biotechnology and Biosystems Engineering (LS9),Kévin,Verstrepen,Kévin Verstrepen,Member
SH,"Individuals, Markets and Organisations (SH1)",Bettina,Rockenbach,Bettina Rockenbach,Chair
SH,"Individuals, Markets and Organisations (SH1)",Leona,Achtenhagen,Leona Achtenhagen,Member
SH,"Individuals, Markets and Organisations (SH1)",Sascha,Albers,Sascha Albers,Member
SH,"Individuals, Markets and Organisations (SH1)",Philippe,Bacchetta,Philippe Bacchetta,Member
SH,"Individuals, Markets and Organisations (SH1)",Emilio,Calvano,Emilio Calvano,Member
SH,"Individuals, Markets and Organisations (SH1)",Catherine,Casamatta,Catherine Casamatta,Member
SH,"Individuals, Markets and Organisations (SH1)",Kristine,de Valck,Kristine de Valck,Member
SH,"Individuals, Markets and Organisations (SH1)",John,Hassler,John Hassler,Member
SH,"Individuals, Markets and Organisations (SH1)",Anne,Keegan,Anne Keegan,Member
